pdb_id,organism_scientific_name,tax_id,organism_synonyms,rank,genus,superkingdom,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,interacting_molecules,interacting_ligands,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,entry_uniprot_accession,uniprot_id,molecule_synonym,gene_name,entity_id
2q7q,Paracoccus denitrificans,266,"Parde,Paracoccus Denitrificans,Micrococcus Denitrificans,Paracoccus denitrificans,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Paracoccus,Bacteria,J. Mol. Biol.,276,,,Refined crystal structure of methylamine dehydrogenase from Paracoccus denitrificans at 1.75 A resolution.,10.1006/jmbi.1997.1511,131-49,1998,9514722,"Chen L,Doi M,Durley RC,Chistoserdov AY,Lidstrom ME,Davidson VL,Mathews FS",X-ray diffraction,,CRYSTAL STRUCTURE OF THE QUINOPROTEIN METHYLAMINE DEHYDROGENASE FROM PARACOCCUS DENITRIFICANS AT 1.75 ANGSTROMS,"Chen L,Mathews FS",Engineered,,,,,,,TNT,P 21 21 21,,,,,,,,,,,Methylamine dehydrogenase light chain,,39411.19,4,1920,2,0,4,355,Methylamine dehydrogenase heavy chain,,N,Protein,Conflict,"P29894,P22619",DHMH_PARDE,"Methylamine dehydrogenase (amicyanin),Methylamine dehydrogenase heavy chain,MADH",mauB,1
2bbk,Paracoccus denitrificans,266,"Parde,Paracoccus Denitrificans,Micrococcus Denitrificans,Paracoccus denitrificans,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Paracoccus,Bacteria,J. Mol. Biol.,276,,,Refined crystal structure of methylamine dehydrogenase from Paracoccus denitrificans at 1.75 A resolution.,10.1006/jmbi.1997.1511,131-49,1998,9514722,"Chen L,Doi M,Durley RC,Chistoserdov AY,Lidstrom ME,Davidson VL,Mathews FS",X-ray diffraction,,CRYSTAL STRUCTURE OF THE QUINOPROTEIN METHYLAMINE DEHYDROGENASE FROM PARACOCCUS DENITRIFICANS AT 1.75 ANGSTROMS,"Chen L,Mathews FS",Engineered,,,,,,,TNT,P 21 21 21,,,,,,,,,,,Methylamine dehydrogenase heavy chain,,13728.206,4,1920,2,0,4,125,Methylamine dehydrogenase light chain,,Y,Protein,,"P29894,P22619",DHML_PARDE,"Methylamine dehydrogenase (amicyanin),MADH,Methylamine dehydrogenase light chain",mauA,2
2agy,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the Schiff base intermediate in the reductive half-reaction of aromatic amine dehydrogenase (AADH) with tryptamine. Monoclinic form,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,ESRF,,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase heavy chain,TSH : 2-(1H-INDOL-3-YL)ETHANIMINE,14516.898,4,1986,2,1,4,109,Aralkylamine dehydrogenase light chain,,Y,Protein,,"P84887,P84888",AAUA_ALCFA,"Aromatic amine dehydrogenase,AADH,Aralkylamine dehydrogenase light chain",aauA,1
2agy,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the Schiff base intermediate in the reductive half-reaction of aromatic amine dehydrogenase (AADH) with tryptamine. Monoclinic form,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,ESRF,,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase light chain,TSH : 2-(1H-INDOL-3-YL)ETHANIMINE,40016.125,4,1986,2,1,4,361,Aralkylamine dehydrogenase heavy chain,,N,Protein,,"P84887,P84888",AAUB_ALCFA,"Aromatic amine dehydrogenase,Aralkylamine dehydrogenase heavy chain,AADH",aauB,2
2ah1,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of aromatic amine dehydrogenase (AADH) from Alcaligenes faecalis,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,MIR,REFMAC,P 1 21 1,,ESRF,SOLVE,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase heavy chain,,14516.898,4,1984,2,0,4,110,Aralkylamine dehydrogenase light chain,,Y,Protein,,"P84888,P84887",AAUA_ALCFA,"Aromatic amine dehydrogenase,AADH,Aralkylamine dehydrogenase light chain",aauA,1
2ah1,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of aromatic amine dehydrogenase (AADH) from Alcaligenes faecalis,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,MIR,REFMAC,P 1 21 1,,ESRF,SOLVE,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase light chain,,40016.125,4,1984,2,0,4,360,Aralkylamine dehydrogenase heavy chain,,N,Protein,,"P84888,P84887",AAUB_ALCFA,"Aromatic amine dehydrogenase,Aralkylamine dehydrogenase heavy chain,AADH",aauB,2
2ah0,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the carbinolamine intermediate in the reductive half-reaction of aromatic amine dehydrogenase (AADH) with tryptamine. Monoclinic form,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,MARRESEARCH,X11,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,"EMBL/DESY\, Hamburg",,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase heavy chain,"TSH : 2-(1H-INDOL-3-YL)ETHANIMINE,TSC : (1S)-1-AMINO-2-(1H-INDOL-3-YL)ETHANOL",14516.898,4,1986,2,2,4,109,Aralkylamine dehydrogenase light chain,,Y,Protein,,"P84887,P84888",AAUA_ALCFA,"Aromatic amine dehydrogenase,AADH,Aralkylamine dehydrogenase light chain",aauA,1
2ah0,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the carbinolamine intermediate in the reductive half-reaction of aromatic amine dehydrogenase (AADH) with tryptamine. Monoclinic form,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,MARRESEARCH,X11,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,"EMBL/DESY\, Hamburg",,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase light chain,"TSH : 2-(1H-INDOL-3-YL)ETHANIMINE,TSC : (1S)-1-AMINO-2-(1H-INDOL-3-YL)ETHANOL",40016.125,4,1986,2,2,4,361,Aralkylamine dehydrogenase heavy chain,,N,Protein,,"P84887,P84888",AAUB_ALCFA,"Aromatic amine dehydrogenase,Aralkylamine dehydrogenase heavy chain,AADH",aauB,2
2agl,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the phenylhydrazine adduct of aromatic amine dehydrogenase from Alcaligenes faecalis,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,ESRF,,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase heavy chain,PHZ : 1-PHENYLHYDRAZINE,14516.898,4,1986,2,1,4,119,Aralkylamine dehydrogenase light chain,,Y,Protein,,"P84888,P84887",AAUA_ALCFA,"Aromatic amine dehydrogenase,AADH,Aralkylamine dehydrogenase light chain",aauA,1
2agl,Alcaligenes faecalis,511,"Achromobacter Sp. Atcc8750,Alcaligenes Sp. Bp11,Alcfa,Alcaligenes Faecalis,Bacillus Faecalis Alcaligenes,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria","species,genus,family,order,class,phylum,superkingdom",Alcaligenes,Bacteria,Science,312,,,Atomic description of an enzyme reaction dominated by proton tunneling.,10.1126/science.1126002,237-41,2006,16614214,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",X-ray diffraction,y,Crystal structure of the phenylhydrazine adduct of aromatic amine dehydrogenase from Alcaligenes faecalis,"Masgrau L,Roujeinikova A,Johannissen LO,Hothi P,Basran J,Ranaghan KE,Mulholland AJ,Sutcliffe MJ,Scrutton NS,Leys D",Natural,CCD,ADSC QUANTUM 4,ID14-1,Synchrotron,Single wavelength,FOURIER SYNTHESIS,REFMAC,P 1 21 1,,ESRF,,DENZO,SCALEPACK,,,,,6.0,Aralkylamine dehydrogenase light chain,PHZ : 1-PHENYLHYDRAZINE,40016.125,4,1986,2,1,4,360,Aralkylamine dehydrogenase heavy chain,,N,Protein,,"P84888,P84887",AAUB_ALCFA,"Aromatic amine dehydrogenase,Aralkylamine dehydrogenase heavy chain,AADH",aauB,2
